X,Y
2705.468,988.2766
2347.262,991.6667
2355.139,989.8889
2502.29,992.28
1502.667,990.5333
2411.75,991.3333
1488.086,995.1505
1920.333,998.3333
2853.947,998.9067
2026.354,1001.521
1759.135,1000.973
2899.221,1004.662
1816.923,1007.738
2070.94,1006.86
2059.982,1007
1751.171,1008.244
2239.022,1010.652
1961.357,1011.643
2857.113,1012.283
2903.731,1016.269
2359,1013.962
2509.412,1013.882
1838.391,1014.957
1984,1013.917
1799.018,1016.164
1879.333,1016.436
2897,1017.5
1421.69,1018.81
2250.632,1018.544
1826.909,1018.558
2691.762,1019.738
1888.169,1028.352
2448.822,1030.685
2109.823,1036.088
2594.688,1033.875
2676.231,1035.115
1345.158,1037.649
1435.942,1037.269
1851.462,1034.385
1227.785,1036.708
2193,1037.308
2334.158,1039.035
2127.263,1039.526
2366.235,1038.137
1455.653,1041.639
2598.232,1043.366
1448.1,1041.2
1763.229,1044.279
2651.526,1044.509
1081.313,1049.211
1193.73,1044.865
1294.841,1046.73
1620.292,1048.667
2190.823,1045.353
2283.04,1049.667
2185.226,1053.057
2325.018,1051.625
2941.491,1055.8
2839.362,1058.42
1757.016,1056.443
1626.388,1057.047
2632.36,1056.5
2653.623,1058.525
1980.014,1058.329
1424.708,1059.938
1431.906,1057.563
1838.967,1059.3
1913.951,1060.256
1383.258,1060.048
1727.353,1059.735
2221.867,1058.467
2056.591,1060.636
2075.678,1062.831
2241,1060.368
2613.151,1063.965
1118.867,1064.467
1886.253,1066.608
2223.105,1063.579
2242,1066.611
2113.225,1067.927
1417.815,1067.815
2006.629,1069.032
2016.963,1068.838
1092.747,1072.542
1371.719,1069.895
2070.1,1067.4
1114.96,1069.68
1862.648,1076.289
2133.39,1073.627
1979,1069.2
1034.418,1078.291
1696.6,1071.75
2657.385,1076.231
1784.467,1073.933
2123.947,1075.132
2181.358,1075.418
2085.967,1075
2594.948,1075.429
2616.972,1079.377
1471.823,1075.353
1887.5,1079.882
2187.094,1083.226
2920.327,1086.038
1904.796,1084.449
1898,1086.4
2064.678,1086.571
2556.34,1088.128
2169.642,1089.478
2377.172,1091.813
1666.789,1090.684
2291.096,1091.038
2132.3,1090.3
2564.455,1090.364
1514.175,1094.825
1412.25,1093.139
2541.484,1094.563
2273.769,1099.769
1651.882,1099.591
2561.652,1099.212
2598.667,1100.773
1407.753,1102.151
2867.171,1101.071
2333.885,1101.462
2591.179,1104.603
2293.732,1102.304
1775.098,1105.89
2907.175,1106.45
2537.651,1108.012
1628.176,1108.324
2875.4,1107.6
3009.692,1107.192
1741.136,1106.636
1878.248,1116.172
2614.8,1111.164
1721.333,1111.933
2741.7,1112.9
1279.863,1117.512
1543.679,1118
1580.424,1115.212
1027.696,1115.826
2888.21,1120.667
2738.121,1119.424
2053.063,1121.582
2539.284,1125.739
2298.469,1123.117
2631.404,1130.126
988.9388,1126.245
2225.613,1131.67
1428.633,1133.734
2173.099,1133.113
2135.795,1131.932
2577.606,1132.131
2033.636,1129.909
1055.336,1135.605
1593.927,1136.073
2235,1136.575
2565.559,1138.814
1924.525,1141.934
2372.855,1139.322
1762,1137.921
2106.822,1144.313
1330.935,1140.974
2270.813,1143.373
2462.903,1149.363
1803.627,1148.307
2158.461,1144.885
2149.058,1152.015
1207.918,1148.822
1795.429,1147.357
2479.631,1158.287
1752.955,1151
2066.464,1152.87
1758.385,1152.577
2539.385,1151.615
2610.857,1153.571
2758.304,1152.565
961.4717,1157.283
1052.979,1158.175
2449.104,1155.414
1415.046,1160.562
2359.028,1157.556
1979.5,1157.231
1209.407,1157.78
2701.35,1157.9
1347.741,1160.586
2430.347,1160.208
2091.077,1160.692
2784.796,1160.389
1039.375,1162.875
2454.027,1163.568
2371.046,1163.646
1667.478,1165.348
1390.857,1165.238
2689.413,1166.556
3020.54,1165.81
2514.747,1168.862
1009.885,1168.212
2636.059,1169.373
1424.55,1168.4
1625.096,1170.154
2524.708,1171.771
2203.986,1172.167
2995.09,1173.85
1735.375,1176.107
1984,1173
1619.973,1176.946
934.6977,1177
1666.482,1179.782
2877.382,1180.309
1985.321,1180.893
2250.8,1178.5
2639.912,1182.456
958.7838,1184.324
1977.965,1187.814
1286.397,1188
1476.273,1187.068
1738.691,1190.882
2996.956,1192.632
1890.823,1192.809
2485.461,1189.308
1782.417,1193.25
2643.926,1198.42
2560.627,1197.92
2583.36,1196.56
2628.975,1199.469
2587.5,1200.846
1900.925,1202.868
2044.04,1205.404
1314.164,1203.436
2457.265,1202.294
990.1379,1203.586
2907.783,1206.617
1491.267,1205
1321.783,1206
2057.572,1205.286
1810.853,1208.147
2564,1207.833
2466.667,1213.778
1456.895,1216.079
2887.528,1214.604
914.037,1215.704
1413.729,1221.118
1237.448,1220.776
1322.387,1222.973
2837.612,1219.551
2879.444,1222.374
1275.754,1220.439
1517.172,1219.914
2039.698,1220.442
2066.628,1223.218
3045.806,1224.86
1805.441,1223.971
1201.031,1225.281
1638.113,1229.075
3016.068,1230.205
2808.684,1230.684
1525.44,1234.33
3069.877,1231.694
2227.481,1232.741
1200.571,1233.029
1473.132,1236.453
1856.66,1236.88
2248.302,1236.837
3005.279,1235.382
1490.1,1233.85
1769.392,1235.941
3063.63,1236.926
2015.987,1239.769
2667.833,1238.5
2377.183,1241.717
2411.611,1245.403
1817,1243.2
1118.932,1243.847
2324.113,1243.935
2249.857,1243.929
3094,1245.667
1656.793,1248.037
1906.047,1248.094
2513.173,1246.893
2006.694,1246.806
2619.754,1250.115
2206,1252.161
2973.742,1253.083
910.3943,1255.535
1978.379,1257.712
2257.722,1253.222
2350.967,1253.367
2636.407,1255.87
2000.581,1256.674
1230.467,1258.244
1440.361,1259.508
2196.241,1258.103
2707.451,1259.961
2399.917,1259.75
2855.673,1262.618
3057.34,1267.874
2584.921,1266.397
2375.588,1264.647
2691.582,1266.018
1922.263,1265.842
942.1066,1272.271
2323.783,1272.917
2559.986,1274.422
1946.929,1272.214
2387.889,1272.852
2860.928,1276.536
2765.297,1279.784
2630.182,1275.182
3017.855,1281.079
2166.849,1278.962
1479.089,1281.411
1960.082,1282.845
1844.5,1278.714
2092.519,1283.327
1375.342,1282.868
1997.6,1284.411
1503.571,1286.769
2580.978,1282.37
3097.577,1285.308
2384.119,1285.667
1582.544,1288.029
2255.842,1290.97
1210.413,1294.493
2157.869,1293.232
2543.2,1288.867
3008.818,1288.455
2086.912,1293.702
1810.32,1300.434
1382.219,1295.397
2399,1296.077
2099,1298.063
2409.46,1304.397
1047.939,1302.788
2981.542,1303.396
1078.056,1303.75
2927.815,1307.407
3144.167,1306.625
1317.119,1308.209
2227.826,1314.724
3122.649,1307.676
2496.238,1309.286
1106.119,1312.045
2651.677,1317.75
1565.067,1313
1605.237,1324.564
2974.75,1313.25
1745.5,1315
1821.206,1320.838
3070.487,1316.189
1218.164,1319.918
2526.844,1320.033
2984.678,1318.821
1101.828,1323.422
1995.701,1325.463
2754.917,1322.817
1535.935,1328.19
2619.273,1326.182
2154.438,1327.594
2290.042,1328.563
2517.691,1330.321
2074.7,1332.04
2828.45,1331.817
1281.222,1336.254
2370.586,1332.586
3088.195,1333.317
1567.918,1334.367
2807.951,1336.432
1868.974,1336.947
2155.22,1336.805
2272.348,1335.522
3027.698,1340.859
1546.2,1337.333
2618.18,1338.72
2167.632,1340.053
1881.302,1339.395
2089.75,1339.938
1747.159,1346.195
2277.6,1340.35
2611.872,1343.359
836.4375,1344.641
2026.613,1341.968
1599.7,1344.35
2636.741,1347
1551.78,1350.604
2815.706,1345.118
1371,1345.985
2588.93,1349.548
1351.385,1348.923
2676.762,1349.444
2868.381,1349.095
2126.029,1352.265
1111.695,1357.158
2391,1353.933
2467.74,1352.6
2599.323,1353
2989.831,1356.729
2150.986,1358.817
2687.815,1361.074
1203.655,1358.964
2485.675,1359.234
2891.282,1359.873
835.0492,1361.656
1195.235,1359.941
1757.889,1361.889
1259.95,1362.25
2052.823,1365.456
2316.938,1366.406
2461.296,1366.296
2763.813,1364
2796.573,1369.103
2804.267,1366.283
1130.909,1365.182
2135.108,1367.919
2439.686,1368.586
1779.12,1366.84
1256.806,1369.694
1486.7,1369.7
1625.204,1371.735
1888.418,1375.367
3140.303,1373.621
2629.282,1375.026
2459.708,1373.708
2559.432,1377.227
1628.568,1379.023
2848.804,1379.235
2639.069,1383.042
1467.273,1384.08
3056.215,1384.304
1609.106,1384.957
2426.043,1385.322
1780.841,1386.205
3080.639,1388.148
2502.905,1385.262
836.4286,1386.286
1435.273,1384.818
1726.091,1387.212
1924.929,1388.929
1047.781,1388.25
2509.961,1387.538
3024.258,1388.323
1857.992,1389.669
2029.769,1387.462
2414.5,1387.75
2490.643,1386.429
2713.214,1391.69
842.75,1389.25
2408.733,1389.667
1806.338,1394.028
847.913,1392.696
2841.471,1393.667
2958.89,1395.562
1051.273,1394.818
1893.429,1396.806
